type,old_name,new_name,date,comment
transcript,2025_03_21_vinaiotvetsvennosti.md,2025_03_21_S04E07_vinaiotvetsvennosti.md,2025-03-21,S04E07 - Логика вины и логика причинности
image,images/2025_03_21_vinaiotvetsvennosti.jpg,images/2025_03_21_S04E07_vinaiotvetsvennosti.jpg,2025-03-21,S04E07 - Логика вины и логика причинности
transcript,2025_04_04_the-courage-to-be.md,2025_04_04_S04E08_the-courage-to-be.md,2025-04-04,S04E08 - Мужество быть
image,images/2025_04_04_the-courage-to-be.jpg,images/2025_04_04_S04E08_the-courage-to-be.jpg,2025-04-04,S04E08 - Мужество быть
transcript,2025_04_11_dukhovny-fast-food.md,2025_04_11_S04E09_dukhovny-fast-food.md,2025-04-11,S04E09 - Духовный фастфуд
image,images/2025_04_11_dukhovny-fast-food.jpg,images/2025_04_11_S04E09_dukhovny-fast-food.jpg,2025-04-11,S04E09 - Духовный фастфуд
transcript,2025_05_08_lukewarm.md,2025_05_08_S04E10_lukewarm.md,2025-05-08,S04E10 - Цена теплохладности
image,images/2025_05_08_lukewarm.jpg,images/2025_05_08_S04E10_lukewarm.jpg,2025-05-08,S04E10 - Цена теплохладности
transcript,2025_05_23_narrative-wars.md,2025_05_23_S04E11_narrative-wars.md,2025-05-23,S04E11 - Война нарративов
image,images/2025_05_23_narrative-wars.jpg,images/2025_05_23_S04E11_narrative-wars.jpg,2025-05-23,S04E11 - Война нарративов
transcript,2025_06_20_eschatological-optimism.md,2025_06_20_S04E12_eschatological-optimism.md,2025-06-20,S04E12 - Эсхатологический оптимизм. Финал сезона
image,images/2025_06_20_eschatological-optimism.jpg,images/2025_06_20_S04E12_eschatological-optimism.jpg,2025-06-20,S04E12 - Эсхатологический оптимизм. Финал сезона
transcript,2023_08_03_polit_nemota.md,2023_08_03_SE01_polit_nemota.md,2023-08-03,SE01 - Разговор о главном. Политическая Немота
image,images/2023_08_03_polit_nemota.jpg,images/2023_08_03_SE01_polit_nemota.jpg,2023-08-03,SE01 - Разговор о главном. Политическая Немота
transcript,2024_06_29_straw_man.md,2024_06_29_SE02_straw_man.md,2024-06-29,SE02 - В краю соломенных чучел
image,images/2024_06_29_straw_man.jpg,images/2024_06_29_SE02_straw_man.jpg,2024-06-29,SE02 - В краю соломенных чучел
transcript,2024_12_28_year2024.md,2024_12_28_SE03_year2024.md,2024-12-28,SE03 - Год невыученных уроков
image,images/2024_12_28_year2024.jpg,images/2024_12_28_SE03_year2024.jpg,2024-12-28,SE03 - Год невыученных уроков
